,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,9.68,0,1.91,0.16,Artifact,Weak,,,28,5.2,0.6,2.74,22.47,Compound,None,,,55,4.19,0,2.05,0.71,Compound,None,,,82,3.76,0.1,2.65,3.71,Compound,None,,,109,3.47,0.3,2.66,10.68,Compound,None,,,136,2.89,0.1,7.22,6.65,Compound,None,,,163,2.28,0,0.74,0.06,Artifact,Weak,,,190,1.26,0,1.55,0.55,Compound,None,,
2,8.45,0,12.28,1.41,Compound,None,,,29,5.19,0.6,2.49,18.54,Compound,None,,,56,4.18,0,3.06,0.41,Impurity,Weak,,,83,3.75,0.4,4.59,21.67,Compound,None,,,110,3.47,0.3,2.91,13.43,Compound,None,,,137,2.87,0,2.37,0.4,Compound,Weak,,,164,2.26,0.1,2.41,1.98,Compound,None,,,191,1.25,0.4,1.91,9.97,Compound,None,,
3,7.9,0,10.29,1.23,Compound,None,,,30,5.1,0,6.72,2.14,Compound,None,,,57,4.14,0,4.24,1.19,Compound,None,,,84,3.74,0.3,2.39,8.32,Compound,None,,,111,3.46,0,1.39,0.57,Compound,None,,,138,2.84,0,11.81,5.51,Compound,None,,,165,2.23,0.2,2.62,5.11,Compound,None,,,192,1.24,0,2.19,1.24,Compound,None,,
4,7.65,0,5.62,0.38,Artifact,Weak,,,31,5.06,0,4.81,0.48,Impurity,Weak,,,58,4.12,0,1.29,0.12,Artifact,Weak,,,85,3.74,0.2,3.13,7.37,Compound,None,,,112,3.45,0.7,3.42,31.76,Compound,None,,,139,2.82,0,7.17,1.25,Compound,None,,,166,2.21,0,2.28,0.51,Compound,Weak,,,193,1.23,0.2,2.57,5.23,Compound,None,,
5,7.59,0,5.46,1.65,Compound,None,,,32,5.05,0,1.81,0.17,Impurity,Weak,,,59,4.04,0,2.54,0.53,Impurity,None,,,86,3.73,0.1,2,2.28,Compound,None,,,113,3.43,0.1,4.81,9.78,Compound,None,,,140,2.81,0.1,1.59,1.13,Compound,None,,,167,2.21,0,6.89,1.76,Compound,None,,,194,1.22,0.2,2.58,5.63,Compound,None,,
6,7.55,0,7.04,1.11,Compound,None,,,33,5.01,0,1.58,0.19,Impurity,Weak,,,60,4.01,0.1,4.98,3.7,Compound,None,,,87,3.71,0.2,2.29,4.82,Compound,None,,,114,3.43,0.2,2.87,8.72,Compound,None,,,141,2.8,0.1,1.95,1.25,Compound,None,,,168,2.16,0,9.73,5.75,Compound,None,,,195,1.21,0.1,27.72,19.41,Compound,None,,
7,7.48,0,1.12,0.08,Artifact,Weak,,,34,4.97,0,4.17,1.26,Compound,None,,,61,4,0,3.59,1.33,Compound,None,,,88,3.7,0.4,2.43,12.87,Compound,None,,,115,3.42,0.3,2.3,8.85,Compound,None,,,142,2.76,0,0.96,0.07,Artifact,Weak,,,169,2.15,0.1,5.08,3.48,Compound,None,,,196,1.2,0,2,0.35,Impurity,Weak,,
8,7.47,0,2.97,0.2,Artifact,Weak,,,35,4.93,0,4.13,1.38,Artifact,Weak,,,62,3.98,0,4.74,2.35,Compound,None,,,89,3.69,0.1,1.67,1.36,Compound,None,,,116,3.41,0.2,3.22,9.16,Compound,None,,,143,2.73,0,10.2,1.64,Compound,None,,,170,2.13,0.1,4.43,2.78,Compound,None,,,197,1.05,0,1.79,0.35,Impurity,Weak,,
9,7.32,0,13.3,1.08,Artifact,Weak,,,36,4.83,0.1,1.93,1.3,Artifact,Weak,,,63,3.95,0.1,5.63,8.46,Compound,None,,,90,3.68,0.2,2.55,7.47,Compound,None,,,117,3.4,0.2,3.25,9.28,Compound,None,,,144,2.61,0,22.59,6.18,Compound,None,,,171,2.11,0,2.51,0.43,Compound,Weak,,,198,1.04,0,2.95,0.4,Impurity,Weak,,
10,7.07,0,5.48,0.55,Impurity,Weak,,,37,4.79,519.4,2.3,14815.87,Solvent,None,,,64,3.94,0.1,5.78,5.47,Compound,None,,,91,3.67,0.7,3.29,35.73,Compound,None,,,118,3.39,0.1,2.57,2.8,Compound,None,,,145,2.58,0.3,2.75,10.19,Compound,None,,,172,2.07,0.1,8.09,12.67,Compound,None,,,199,1.02,0,2.69,0.21,Artifact,Weak,,
11,6.97,0,3.6,0.65,Impurity,Weak,,,38,4.71,0,6.52,1.44,Artifact,Weak,,,65,3.92,0.1,7.31,11.49,Compound,None,,,92,3.66,0.4,3.57,20.18,Compound,None,,,119,3.38,0.1,2.02,1.73,Compound,None,,,146,2.54,0,2.54,1.24,Compound,None,,,173,2.05,0.2,3.95,12.01,Compound,None,,,200,1,0,3.03,0.66,Impurity,None,,
12,6.8,0,3.34,0.27,Artifact,Weak,,,39,4.7,0,7.09,1.38,Artifact,Weak,,,66,3.92,0.2,3.19,6.59,Compound,None,,,93,3.65,0.1,1.97,2.98,Compound,None,,,120,3.36,0,1.8,0.32,Compound,Weak,,,147,2.52,0,2.64,0.89,Compound,None,,,174,2.04,0.1,9.59,10.28,Compound,None,,,201,0.98,0,2.87,0.49,Impurity,Weak,,
13,6.59,0,2.98,1.49,Compound,None,,,40,4.66,0.4,2.07,8.86,Artifact,Weak,,,67,3.91,0.1,2.53,4.1,Compound,None,,,94,3.64,0.5,2.43,15.77,Compound,None,,,121,3.34,0,2.51,0.36,Impurity,Weak,,,148,2.51,0,1.1,0.12,Impurity,Weak,,,175,2.03,0.1,2.87,2.94,Compound,None,,,202,0.96,0.1,24.05,15.79,Compound,None,,
14,6.32,0.1,2.45,1.78,Compound,None,,,41,4.64,0.4,2.12,9.19,Compound,None,,,68,3.89,0.3,2.41,9.74,Compound,None,,,95,3.63,0.5,2.74,18.21,Compound,None,,,122,3.27,0.3,3.45,10.63,Compound,None,,,149,2.48,0,2.33,0.43,Compound,Weak,,,176,2.03,0,1.17,0.13,Impurity,Weak,,,203,0.95,0,15.88,0.71,Artifact,Weak,,
15,5.99,0,0.79,0.05,Artifact,Weak,,,42,4.59,0,2.53,0.67,Impurity,None,,,69,3.88,0.9,3.37,35.16,Compound,None,,,96,3.62,0,5.55,2.87,Compound,None,,,123,3.24,0.2,2.34,5.81,Compound,None,,,150,2.46,0.1,5.42,6.86,Compound,None,,,177,2,0,2.05,1.11,Compound,None,,,204,0.94,0,4.59,0.72,Compound,Weak,,
16,5.98,0,2.77,0.37,Impurity,Weak,,,43,4.57,0,1.73,0.34,Impurity,Weak,,,70,3.86,0.5,3.08,19.19,Compound,None,,,97,3.61,0,1.19,0.13,Impurity,Weak,,,124,3.24,0.1,1.94,2.65,Compound,None,,,151,2.44,0.1,5.77,8.86,Compound,None,,,178,1.99,0,2.53,0.38,Compound,Weak,,,205,0.92,0,3.06,0.3,Impurity,Weak,,
17,5.92,0,2.26,0.2,Impurity,Weak,,,44,4.56,0,2.9,0.54,Impurity,Weak,,,71,3.85,0.7,3.7,31.33,Compound,None,,,98,3.6,0.1,2.74,1.78,Compound,None,,,125,3.23,0.4,3.26,16.88,Compound,None,,,152,2.43,0.1,2.17,1.61,Compound,None,,,179,1.93,0,3.81,0.86,Impurity,None,,,206,0.89,0.1,25.95,21.41,Compound,None,,
18,5.91,0,3.22,0.4,Impurity,Weak,,,45,4.55,0,1.47,0.13,Impurity,Weak,,,72,3.85,0.6,3.22,25.59,Compound,None,,,99,3.58,0.2,2.16,5.51,Compound,None,,,126,3.22,0.1,2.16,3.47,Compound,None,,,153,2.41,0,0.87,0.09,Impurity,Weak,,,180,1.9,0,2.94,0.63,Impurity,None,,,207,0.87,0,7.17,2.71,Compound,None,,
19,5.89,0,2.79,0.17,Artifact,Weak,,,46,4.54,0,2.58,0.81,Compound,None,,,73,3.84,0.1,2.86,4.65,Compound,None,,,100,3.56,0.2,2.05,5,Compound,None,,,127,3.21,0.1,5.27,7.64,Compound,None,,,154,2.41,0,2.44,1.36,Compound,None,,,181,1.87,0,3.77,0.62,Impurity,Weak,,,208,0.6,0.1,6.24,4.21,Compound,None,,
20,5.84,0,4.85,0.42,Impurity,Weak,,,47,4.52,0.1,2.72,2.26,Compound,None,,,74,3.83,0.7,2.99,29.12,Compound,None,,,101,3.56,0,1.53,0.57,Compound,None,,,128,3.14,0,13.76,1.54,Compound,None,,,155,2.39,0,2.81,0.67,Compound,None,,,182,1.73,0.1,7.12,8.3,Compound,None,,,209,0.19,0,1.8,0.18,Impurity,Weak,,
21,5.72,0,5.51,0.35,Artifact,Weak,,,48,4.51,0.1,2.68,2.11,Compound,None,,,75,3.82,0.2,3.16,7.06,Compound,None,,,102,3.55,0.2,1.93,3.55,Compound,None,,,129,3.11,0,1.81,0.17,Impurity,Weak,,,156,2.37,0,1.49,0.77,Compound,None,,,183,1.59,0,5.94,2.86,Compound,None,,,210,0.16,0.5,2.28,14.74,CS Reference,Weak + C13_Sat,,
22,5.45,0,5.36,0.77,Impurity,Weak,,,49,4.46,0,3.87,0.47,Impurity,Weak,,,76,3.81,0.6,4.1,32.44,Compound,None,,,103,3.54,0.1,1.4,0.99,Compound,None,,,130,3.05,0,6.53,1.02,Compound,None,,,157,2.36,0,3.07,1.26,Compound,None,,,184,1.57,0,4.53,1.29,Compound,None,,,211,0.14,0.1,1.83,2.41,Compound,None,,
23,5.41,0,9.76,3.52,Compound,None,,,50,4.42,0,1.97,0.51,Impurity,None,,,77,3.81,0.1,2.15,2.37,Compound,None,,,104,3.53,0.1,2.09,2.11,Compound,None,,,131,3.03,0,12.59,2.53,Compound,None,,,158,2.36,0,1.97,0.56,Impurity,None,,,185,1.49,0.1,2.61,2.65,Compound,None,,,212,0.01,100,1.43,1817.44,CS Reference,None,,
24,5.4,0,6.71,2.65,Compound,None,,,51,4.37,0,1.82,0.12,Artifact,Weak,,,78,3.79,0.7,2.52,21.75,Compound,None,,,105,3.53,0.1,2.3,3.18,Compound,None,,,132,2.99,0,3.19,0.47,Impurity,Weak,,,159,2.35,0.1,7.19,7.65,Compound,None,,,186,1.47,0.1,3.19,4.31,Compound,None,,,213,0,2.2,1.6,38.6,CS Reference,Weak,,
25,5.26,0,1.81,0.2,Impurity,Weak,,,52,4.32,0,12.28,2.92,Compound,None,,,79,3.78,0.5,3.42,21.39,Compound,None,,,106,3.52,0.1,2.82,5.53,Compound,None,,,133,2.98,0,3.49,0.77,Impurity,None,,,160,2.33,0.1,6.88,13.79,Compound,None,,,187,1.33,0.4,61.5,288.93,Compound,None,,,214,-0.07,0,18.96,1.64,Artifact,Weak,,
26,5.24,0.2,2.87,8.32,Compound,None,,,53,4.3,0,0.64,0.04,Artifact,Weak,,,80,3.78,0.3,3.49,13.53,Compound,None,,,107,3.51,0.2,2.71,6.87,Compound,None,,,134,2.95,0,3.58,1.36,Compound,None,,,161,2.31,0,2.4,0.82,Compound,None,,,188,1.32,0.2,15.68,31.63,Compound,None,,,215,-0.14,0.5,1.89,10.68,CS Reference,Weak + C13_Sat,,
27,5.23,0.2,2.3,5.09,Compound,None,,,54,4.21,0,3.4,1.91,Compound,None,,,81,3.77,0.5,3.67,22.03,Compound,None,,,108,3.49,0.3,2.54,11.08,Compound,None,,,135,2.94,0,3.63,1.46,Compound,None,,,162,2.3,0,2.82,0.62,Impurity,None,,,189,1.27,0,2.02,0.49,Compound,None,,,216,-0.6,0,0.55,0.03,Artifact,Weak,,