,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,15.5,0,0.48,0.06,Artifact,Weak,,,29,3.73,0,1.54,0.17,Artifact,Weak,,,57,2.23,0.1,22.63,25.21,Compound,None,,
2,15.12,0,0.56,0.06,Artifact,Weak,,,30,3.72,0,2.96,0.82,Impurity,None,,,58,2.06,0.2,41.46,121.33,Compound,None,,
3,13.09,0,0.72,0.08,Artifact,Weak,,,31,3.7,0,1.84,0.44,Impurity,None,,,59,1.95,0,3.1,1.38,Compound,None,,
4,10.8,0,0.87,0.09,Artifact,Weak,,,32,3.68,0,2.06,0.78,Impurity,None,,,60,1.73,0.1,8.31,14.12,Compound,None,,
5,8.46,0,2.88,0.8,Impurity,None,,,33,3.67,0,1.41,0.17,Artifact,Weak,,,61,1.49,0,3.52,1.15,Compound,None,,
6,7.43,0,0.62,0.07,Artifact,Weak,,,34,3.6,0,1.64,0.27,Impurity,Weak,,,62,1.47,0,5.9,2.59,Compound,None,,
7,7.22,0,0.95,0.09,Artifact,Weak,,,35,3.55,0,2.49,0.29,Impurity,Weak,,,63,1.34,0,1.36,0.4,Impurity,None,,
8,6.34,0,0.56,0.06,Artifact,Weak,,,36,3.54,0,1.13,0.2,Impurity,Weak,,,64,1.32,0.3,66.93,293.58,Compound,None,,
9,6.32,0,0.69,0.06,Artifact,Weak,,,37,3.52,0,4.8,2.06,Compound,None,,,65,1.28,0,1.64,0.37,Impurity,None,,
10,5.24,0,3.52,1.59,Compound,None,,,38,3.49,0.1,4.31,3.11,Compound,None,,,66,1.25,0.4,3.08,16.41,Compound,None,,
11,5.23,0,2.75,0.85,Compound,None,,,39,3.47,0.1,13.51,19.34,Compound,None,,,67,1.22,0.1,4.33,6.44,Compound,None,,
12,5.16,0,0.74,0.09,Artifact,Weak,,,40,3.42,0,2.72,1.11,Compound,None,,,68,1.2,0.1,4.11,5.33,Compound,None,,
13,4.86,0.1,4.28,3.35,Artifact,Weak,,,41,3.27,0,3.52,0.99,Compound,None,,,69,1.17,0,0.76,0.12,Artifact,Weak,,
14,4.79,753.6,2.19,21181.15,Solvent,None,,,42,3.25,0,3.21,1.47,Compound,None,,,70,1.1,0,1.78,0.15,Artifact,Weak,,
15,4.66,0,2.65,1.49,Artifact,Weak,,,43,3.02,0,1.06,0.13,Artifact,Weak,,,71,1.06,0,1.23,0.13,Artifact,Weak,,
16,4.64,0.1,3.16,2.45,Compound,None,,,44,2.89,0,8.64,3.93,Compound,None,,,72,1.01,0,1.26,0.29,Impurity,None,,
17,4.6,0,0.69,0.08,Artifact,Weak,,,45,2.82,0.2,2.63,8.17,Compound,None,,,73,0.95,0,1.3,0.17,Artifact,Weak,,
18,4.53,0,2.13,0.22,Artifact,Weak,,,46,2.76,0,43.9,6.1,Compound,None,,,74,0.89,0,4.25,0.9,Compound,None,,
19,4.51,0,2.33,0.41,Impurity,Weak,,,47,2.72,0,0.53,0.06,Artifact,Weak,,,75,0.88,0,1.07,0.16,Artifact,Weak,,
20,4.15,0,2.28,0.27,Artifact,Weak,,,48,2.49,0,2.99,0.38,Impurity,Weak,,,76,0.6,0.1,7.39,7.33,Compound,None,,
21,4.13,0,5.27,1.23,Compound,None,,,49,2.46,0,1.64,0.22,Artifact,Weak,,,77,0.2,0,1.56,0.16,Artifact,Weak,,
22,3.95,0,2.67,0.76,Impurity,None,,,50,2.42,0,2.57,0.42,Compound,None,,,78,0.16,0.5,3.55,25.57,CS Reference,Weak + C13_Sat,,
23,3.92,0,5.81,2.56,Compound,None,,,51,2.4,0,3.78,1.23,Compound,None,,,79,0.01,100,3.19,4042.54,CS Reference,None,,
24,3.89,0,5.27,2.36,Compound,None,,,52,2.39,0,2.91,0.27,Artifact,Weak,,,80,-0.14,0.5,3.47,23.7,CS Reference,Weak + C13_Sat,,
25,3.86,0,0.43,0.05,Artifact,Weak,,,53,2.37,0,1.56,0.29,Impurity,Weak,,,81,-1.31,0,0.52,0.06,Artifact,Weak,,
26,3.83,0,4.88,2.69,Compound,None,,,54,2.36,0,2.68,0.45,Impurity,None,,,82,-1.48,0,0.79,0.11,Artifact,Weak,,
27,3.77,0,2.33,0.34,Compound,None,,,55,2.34,0,2.97,0.36,Impurity,Weak,,,83,-1.75,0,1.01,0.1,Artifact,Weak,,
28,3.75,0.1,2.78,2.39,Compound,None,,,56,2.3,0,4.05,1.38,Compound,None,,,,,,,,,,,